name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Valentina Shevchenko,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_valentina__shevchenko_202686_rare_thumbnail.png,Rare,UFC,,33.0,37.5,4.5,"(13.64,)",,https://marketplace.draftkings.com/listings/collectibles/489bc9d9c2394e969b7c3a82039bd2fa/editions/186
Israel Adesanya,https://marketplace.draftkings.com/_assets/collectibles/assets/be5ec55c-1be2-462e-aba8-0b78b277dea9.png,Core,UFC,,5.99,10.0,4.01,"(66.94,)",,https://marketplace.draftkings.com/listings/collectibles/461fb9b220084e8cb07a4e8d1c0f68ae/editions/123
Renato Carneiro,https://marketplace.draftkings.com/_assets/collectibles/assets/a237dbbe-93c4-4629-a33e-a463c4d22203.png,Core,UFC,,2.99,6.5,3.51,"(117.39,)",,https://marketplace.draftkings.com/listings/collectibles/13bf044d570940798265d56c3c1f038a/editions/183
Leon Edwards,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_leon_edwards_202552_rare_thumbnail.png,Rare,UFC,,29.0,32.5,3.5,"(12.07,)",,https://marketplace.draftkings.com/listings/collectibles/18d14ea290aa45279f517b4375257d07/editions/71
Nicolae Negumereanu,https://marketplace.draftkings.com/_assets/collectibles/assets/64a8acd2-763e-4f01-81dc-55ff9f53b233.png,Core,UFC,,0,3.5,3.5,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/341e0238a76b4402a0df3033e3c2dae0/editions/173
Nicolae Negumereanu,https://marketplace.draftkings.com/_assets/collectibles/assets/64a8acd2-763e-4f01-81dc-55ff9f53b233.png,Core,UFC,,0,3.5,3.5,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/341e0238a76b4402a0df3033e3c2dae0/editions/57
Jon Jones,https://marketplace.draftkings.com/_assets/collectibles/assets/6ed55696-7a74-4b0f-a5ae-f66213b880c3.png,Rare,UFC,,31.0,34.46,3.46,"(11.16,)",,https://marketplace.draftkings.com/listings/collectibles/15307c83111f43169f4af3a69ac5833c/editions/158
Brandon Moreno,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_brandon_moreno_74900_rare_thumbnail.png,Rare,UFC,,39.0,42.24,3.24,"(8.31,)",,https://marketplace.draftkings.com/listings/collectibles/eceed8e30d21461d9195aba380e35570/editions/190
Matt Frevola,https://marketplace.draftkings.com/_assets/collectibles/assets/fd4db285-c57b-4bbc-b2b7-2e45f7a8c156.png,Core,UFC,,1.99,5.0,3.01,"(151.26,)",,https://marketplace.draftkings.com/listings/collectibles/2fb2463647a042acb283c1c5f4683124/editions/294
Colby Covington,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_colby__covington_81455_rare_thumbnail.png,Rare,UFC,,30.0,32.5,2.5,"(8.33,)",,https://marketplace.draftkings.com/listings/collectibles/3eadfba5f26b4df9adfb06cf8158202e/editions/169
Leon Edwards,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_leon_edwards_202552_rare_thumbnail.png,Rare,UFC,,30.0,32.5,2.5,"(8.33,)",,https://marketplace.draftkings.com/listings/collectibles/18d14ea290aa45279f517b4375257d07/editions/83
Karolina Kowalkiewicz,https://marketplace.draftkings.com/_assets/collectibles/assets/ac2410a2-f651-4cd0-8d4b-e9e9628b7f37.png,Core,UFC,,1.99,3.91,1.92,"(96.48,)",,https://marketplace.draftkings.com/listings/collectibles/9698be64a2404418b5db3d2dc3b9cd34/editions/213
Carlos Ulberg,https://marketplace.draftkings.com/_assets/collectibles/assets/72f1f6ce-c068-4547-92a2-565b8411b185.png,Core,UFC,,5.0,6.5,1.5,"(30.0,)",,https://marketplace.draftkings.com/listings/collectibles/c3f9f83e930e45c98a580af2dc110995/editions/98
